ostan,shahrestan,bakhsh,fam,pop,m,f,lat,lon
آذربايجان غربي,شاهين دژ,مركزئ,21872,73179,36600,36579,34.9970417,50.289292719649126
آذربايجان غربي,شاهين دژ,كشاورز,5797,19277,9861,9416,35.7109009,51.4052868
آذربايجان غربي,تكاب,مركزئ,17553,60459,30250,30209,34.9970417,50.289292719649126
آذربايجان غربي,تكاب,تخت سليمان,5929,20097,9985,10112,36.630095499999996,47.147449127149855
آذربايجان غربي,اشنويه,مركزئ,15217,57628,28944,28684,34.9970417,50.289292719649126
آذربايجان غربي,اشنويه,نالوس,4119,16258,8244,8014,36.954513,45.13137266303076
آذربايجان غربي,چالدران,دشتك,2150,7570,3873,3697,#,#
آذربايجان غربي,چالدران,مركزئ,9817,37487,19160,18327,34.9970417,50.289292719649126
آذربايجان غربي,پلدشت,ارس,3796,13793,7085,6708,39.04320475,45.22855032142914
آذربايجان غربي,پلدشت,مركزئ,7741,28377,14517,13860,34.9970417,50.289292719649126
آذربايجان غربي,چايپاره,حاجيلار,2350,8360,4234,4126,38.89097665,45.1635914892805
آذربايجان غربي,چايپاره,مركزئ,11368,38932,19837,19095,34.9970417,50.289292719649126
آذربايجان غربي,شوط,قره قويون,3587,12146,6182,5964,39.0676229,44.88738878170582
آذربايجان غربي,شوط,مركزئ,12169,43536,22208,21328,34.9970417,50.289292719649126
کرمانشاه,اسلام آبادغرب,حميل,4747,15912,7996,7916,33.89006015,46.786179107224456
کرمانشاه,اسلام آبادغرب,مرکزي,35993,124304,62994,61310,35.9929045,52.94912620817931
کرمانشاه,کرمانشاه,فيروزاباد,5635,21197,10935,10262,#,#
کرمانشاه,کرمانشاه,مرکزي,302960,1011428,510669,500759,35.9929045,52.94912620817931
کرمانشاه,کرمانشاه,ماهيدشت,5352,18628,9957,8671,34.29018285,46.81257697209557
کرمانشاه,کرمانشاه,کوزران,3906,13682,7050,6632,34.44618615,46.59870200732789
کرمانشاه,کرمانشاه,بيلوار,4979,17069,8741,8328,34.6866138,47.035718582201014
کرمانشاه,پاوه,باينگان,2741,9503,4683,4820,35.0036462,46.18773317200232
کرمانشاه,پاوه,مرکزي,12838,42178,21321,20857,35.9929045,52.94912620817931
کرمانشاه,پاوه,نوسود,2892,8750,4455,4295,35.198605,46.24168635054281
کرمانشاه,سرپل ذهاب,مرکزي,20359,73942,37068,36874,35.9929045,52.94912620817931
کرمانشاه,سرپل ذهاب,قلعه شاهين,3300,11265,5733,5532,34.3274356,45.98438073268755
کرمانشاه,سنقر,مرکزي,22109,70284,35459,34825,35.9929045,52.94912620817931
کرمانشاه,سنقر,کليايي,3442,11363,5718,5645,34.909120349999995,47.31812898825496
کرمانشاه,قصرشيرين,سومار,45,557,544,13,34.040304500000005,45.59154565498267
کرمانشاه,قصرشيرين,مرکزي,6688,22702,11838,10864,35.9929045,52.94912620817931
کرمانشاه,کنگاور,مرکزي,23071,75443,38017,37426,35.9929045,52.94912620817931
کرمانشاه,گيلانغرب,مرکزي,11783,40122,20259,19863,35.9929045,52.94912620817931
کرمانشاه,گيلانغرب,گواور,4647,16333,8273,8060,34.0266,46.329
کرمانشاه,جوانرود,مرکزي,18338,66493,33854,32639,35.9929045,52.94912620817931
کرمانشاه,جوانرود,کلاشي,2254,8676,4440,4236,34.938977949999995,46.12870327546895
کرمانشاه,صحنه,دينور,5127,16344,8184,8160,34.662445899999994,47.40069847833651
کرمانشاه,صحنه,مرکزي,16605,54184,27410,26774,35.9929045,52.94912620817931
کرمانشاه,هرسين,بيستون,6521,22539,11534,11005,34.4184113,47.40774911483449
کرمانشاه,هرسين,مرکزي,15940,55637,27919,27718,35.9929045,52.94912620817931
کرمانشاه,ثلاث باباجاني,مرکزي,8448,31761,16041,15720,35.9929045,52.94912620817931
کرمانشاه,ثلاث باباجاني,ازگله,793,3311,1870,1441,34.803414000000004,45.86661698507493
کرمانشاه,دالاهو,گهواره,4397,15606,7744,7862,34.44993465,46.36287513496349
کرمانشاه,دالاهو,مرکزي,5828,20215,10055,10160,35.9929045,52.94912620817931
کرمانشاه,روانسر,شاهو,1999,6922,3453,3469,34.89453105,46.50451961759431
کرمانشاه,روانسر,مرکزي,11782,40709,20912,19797,35.9929045,52.94912620817931
خوزستان,آبادان,اروندکنار,7789,27461,13730,13731,29.99684035,48.68810027177437
خوزستان,آبادان,مرکزي,77221,270622,135775,134847,35.9929045,52.94912620817931
خوزستان,انديمشک,الوارگرمسيري,3978,14793,7666,7127,32.743060650000004,48.3473193331571
خوزستان,انديمشک,مرکزي,44435,155816,79543,76273,35.9929045,52.94912620817931
خوزستان,اهواز,مرکزي,351334,1260817,635544,625273,35.9929045,52.94912620817931
خوزستان,اهواز,اسماعيليه,4324,17155,8739,8416,31.153909149999997,48.24777735973651
خوزستان,اهواز,غيزانيه,6816,24613,12541,12072,31.15260285,49.03224923443172
خوزستان,ايذه,دهدز,4762,19351,9555,9796,31.679325,50.201276465251524
خوزستان,ايذه,مرکزي,41278,166567,83378,83189,35.9929045,52.94912620817931
خوزستان,ايذه,سوسن,2642,12953,6588,6365,32.12079065,49.87558104622224
خوزستان,بندرماهشهر,بندرامام خميني,22010,79085,39660,39425,#,#
خوزستان,بندرماهشهر,مرکزي,59201,217186,110004,107182,35.9929045,52.94912620817931
خوزستان,بهبهان,زيدون,4136,14711,7434,7277,30.35446115,50.16449491429462
خوزستان,بهبهان,مرکزي,44368,153861,78375,75486,35.9929045,52.94912620817931
خوزستان,بهبهان,تشان,3331,12009,6074,5935,30.791797350000003,50.10322753839074
خوزستان,خرمشهر,مرکزي,44829,161820,80654,81166,35.9929045,52.94912620817931
خوزستان,خرمشهر,مينو,2549,9154,4589,4565,30.3430464,48.218625908947786
خوزستان,دزفول,سردشت,6309,27726,15325,12401,32.484526450000004,48.86205188694833
خوزستان,دزفول,مرکزي,107399,370498,190650,179848,35.9929045,52.94912620817931
خوزستان,دزفول,چغاميش,8299,31185,16203,14982,32.16298295,48.52703435287924
خوزستان,دزفول,شهيون,2677,11529,6010,5519,32.711084799999995,49.03569696372015
خوزستان,دشت آزادگان,بستان,2867,11653,6005,5648,31.836632,47.95652493110599
خوزستان,دشت آزادگان,مرکزي,23691,96336,48703,47633,35.9929045,52.94912620817931
خوزستان,رامهرمز,مرکزي,25710,95582,48481,47101,35.9929045,52.94912620817931
خوزستان,رامهرمز,رودزرد,1152,4495,2293,2202,31.3419872,49.703547140466085
خوزستان,رامهرمز,سلطان آباد,2231,8014,3986,4028,31.09635995,49.73050967648181
خوزستان,رامهرمز,ابولفارس,1483,5610,2847,2763,#,#
خوزستان,شادگان,مرکزي,25951,98986,50332,48654,35.9929045,52.94912620817931
خوزستان,شادگان,خنافره,6368,24733,12608,12125,30.5392616,48.506213271164974
خوزستان,شادگان,دارخوين,3705,14754,7369,7385,30.7811469,48.482476339466004
خوزستان,شوشتر,مرکزي,37243,139040,71162,67878,35.9929045,52.94912620817931
خوزستان,شوشتر,شعيبيه,5208,20660,10612,10048,31.7987346,48.75928288317559
خوزستان,شوشتر,ميان آب,8395,32177,16535,15642,31.84501545,48.93659876463194
خوزستان,مسجدسليمان,مرکزي,27507,104059,52864,51195,35.9929045,52.94912620817931
خوزستان,مسجدسليمان,گلگير,1946,7238,3683,3555,31.8562241,49.39719541583443
خوزستان,مسجدسليمان,عنبر,644,2045,1073,972,32.21665675,49.05487440675129
خوزستان,شوش,شاوور,18263,70071,35965,34106,31.8713805,48.35561654881617
خوزستان,شوش,مرکزي,32978,119459,60518,58941,35.9929045,52.94912620817931
خوزستان,شوش,فتح المبين,3926,16075,8165,7910,32.20572785,48.06018685884834
خوزستان,باغ ملک,مرکزي,16781,67827,34522,33305,35.9929045,52.94912620817931
خوزستان,باغ ملک,صيدون,5197,22246,11185,11061,31.38437595,50.14604758715759
خوزستان,باغ ملک,ميداود,3892,15302,7875,7427,31.33654715,49.881841643217584
خوزستان,اميديه,جايزان,2856,10717,5353,5364,30.9270499,49.770246074126554
خوزستان,اميديه,مرکزي,22267,81618,41408,40210,35.9929045,52.94912620817931
خوزستان,لالي,مرکزي,7253,29091,14945,14146,35.9929045,52.94912620817931
خوزستان,لالي,حتي,1947,8872,4619,4253,32.491785699999994,49.2077184571432
خوزستان,هنديجان,مرکزي,8780,32112,16262,15850,35.9929045,52.94912620817931
خوزستان,هنديجان,چم خلف عيسي,1856,6650,3364,3286,30.480331149999998,49.67518525456675
خوزستان,رامشير,مرکزي,9831,37576,18771,18805,35.9929045,52.94912620817931
