ostan,shahrestan,bakhsh,shahr,fam,pop,m,f,lat,lon
مازندران,آمل,دابودشت,دابوي مياني,6320,18641,9536,9105,36.6064614,52.46450189716319
مازندران,آمل,دابودشت,دابودشت,572,1758,910,848,36.4792745,52.4496747
مازندران,آمل,امامزاده عبدالله,بالاخيابان ليتکوه,2284,7303,3715,3588,36.3697149,52.31161585160343
مازندران,آمل,امامزاده عبدالله,چلاو,1544,4720,2469,2251,36.13220965,52.4072709977703
مازندران,آمل,امامزاده عبدالله,امامزاده عبدالله,1809,5768,2896,2872,36.4062759,52.3095848
مازندران,آمل,دشت سر,دشت سر شرقي,6644,20146,10182,9964,35.908414,52.2572541
مازندران,آمل,دشت سر,دشت سر غربي,6168,18742,9567,9175,#,#
مازندران,بابل,بندپي غربي,خوش رود,3803,11309,5721,5588,36.31949795,52.53256315271642
مازندران,بابل,بندپي غربي,شهيدآباد,3202,9182,4619,4563,36.4135714,52.5607769
مازندران,بابل,بندپي غربي,خوش رودپي,1906,5742,2903,2839,36.3810371,52.6007896
مازندران,بابل,مرکزئ,فيضيه,8744,26670,13627,13043,36.56454765,52.74837765200367
مازندران,بابل,مرکزئ,اسبوکلا,5636,18709,10156,8553,36.0988697,52.7541526
مازندران,بابل,مرکزئ,گنج افروز,7615,23024,11704,11320,36.4563148,52.7011396
مازندران,بابل,مرکزئ,اميرکلا,10120,30478,15273,15205,36.5969933,52.6652777
مازندران,بابل,مرکزئ,بابل,81572,250217,124863,125354,36.5452581,52.6846571
مازندران,بابل,بندپي شرقي,سجادرود,8298,25724,13087,12637,36.30540985,52.61046297016382
مازندران,بابل,بندپي شرقي,فيروزجاه,865,2600,1299,1301,36.0501624,52.639696600263505
مازندران,بابل,بندپي شرقي,گلوگاه,2138,6908,3426,3482,36.3063786,52.6246893
مازندران,بابل,بابل کنار,بابل کنار,5449,15815,7783,8032,36.304097,52.6967229
مازندران,بابل,بابل کنار,درازکلا,2942,8487,4272,4215,36.3361057,52.724908044301685
مازندران,بابل,بابل کنار,مرزيکلا,301,868,441,427,36.3636458,52.7341391
مازندران,بابل,لاله آباد,کارئ پي,9206,27828,14113,13715,36.5528097,52.57884264738701
